T||dt||ds||dw
    0.000|| 1028.081||-2442.392||-2123.173
    1.000|| 1030.535||-2442.377||-2123.382
    2.000|| 1032.991||-2442.361||-2123.591
    3.000|| 1035.447||-2442.346||-2123.802
    4.000|| 1037.905||-2442.329||-2124.013
    5.000|| 1040.364||-2442.312||-2124.224
    6.000|| 1042.824||-2442.295||-2124.437
    7.000|| 1045.285||-2442.277||-2124.650
    8.000|| 1047.747||-2442.258||-2124.863
    9.000|| 1050.211||-2442.240||-2125.077
   10.000|| 1052.675||-2442.220||-2125.292
   11.000|| 1055.141||-2442.200||-2125.508
   12.000|| 1057.608||-2442.180||-2125.724
   13.000|| 1060.076||-2442.159||-2125.941
   14.000|| 1062.545||-2442.138||-2126.159
   15.000|| 1065.015||-2442.116||-2126.377
   16.000|| 1067.486||-2442.094||-2126.596
   17.000|| 1069.959||-2442.071||-2126.815
   18.000|| 1072.433||-2442.048||-2127.035
   19.000|| 1074.907||-2442.024||-2127.256
   20.000|| 1077.383||-2442.000||-2127.477
   21.000|| 1079.861||-2441.975||-2127.699
   22.000|| 1082.339||-2441.950||-2127.921
   23.000|| 1084.819||-2441.925||-2128.144
   24.000|| 1087.299||-2441.898||-2128.368
   25.000|| 1089.781||-2441.872||-2128.592
   26.000|| 1092.264||-2441.845||-2128.817
   27.000|| 1094.748||-2441.818||-2129.043
   28.000|| 1097.234||-2441.790||-2129.269
   29.000|| 1099.720||-2441.761||-2129.495
   30.000|| 1102.208||-2441.732||-2129.722
   31.000|| 1104.697||-2441.703||-2129.950
   32.000|| 1107.187||-2441.673||-2130.178
   33.000|| 1109.679||-2441.643||-2130.407
   34.000|| 1112.171||-2441.612||-2130.636
   35.000|| 1114.665||-2441.581||-2130.866
   36.000|| 1117.160||-2441.550||-2131.097
   37.000|| 1119.656||-2441.518||-2131.328
   38.000|| 1122.154||-2441.485||-2131.559
   39.000|| 1124.652||-2441.452||-2131.791
   40.000|| 1127.152||-2441.419||-2132.024
   41.000|| 1129.653||-2441.385||-2132.257
   42.000|| 1132.156||-2441.351||-2132.490
   43.000|| 1134.659||-2441.316||-2132.724
   44.000|| 1137.164||-2441.281||-2132.959
   45.000|| 1139.670||-2441.245||-2133.194
   46.000|| 1142.177||-2441.209||-2133.429
   47.000|| 1144.686||-2441.173||-2133.665
   48.000|| 1147.196||-2441.136||-2133.901
   49.000|| 1149.707||-2441.099||-2134.138
   50.000|| 1152.219||-2441.061||-2134.376
   51.000|| 1154.732||-2441.023||-2134.613
   52.000|| 1157.247||-2440.984||-2134.852
