R, км||V, км/с||Tet, рад||I, рад||Omega, рад||U, рад||T, с
 8465.670, км||    3.989, км/с||   -0.000, рад||    0.017, рад||    0.523, рад||    0.000, рад||    0.000, с
 8465.668, км||    3.989, км/с||   -0.001, рад||    0.017, рад||    0.523, рад||    0.000, рад||    1.000, с
 8465.663, км||    3.989, км/с||   -0.002, рад||    0.017, рад||    0.523, рад||    0.001, рад||    2.000, с
 8465.653, км||    3.989, км/с||   -0.003, рад||    0.017, рад||    0.523, рад||    0.001, рад||    3.000, с
 8465.641, км||    3.989, км/с||   -0.004, рад||    0.017, рад||    0.523, рад||    0.002, рад||    4.000, с
 8465.624, км||    3.989, км/с||   -0.005, рад||    0.017, рад||    0.523, рад||    0.002, рад||    5.000, с
 8465.604, км||    3.989, км/с||   -0.006, рад||    0.017, рад||    0.523, рад||    0.003, рад||    6.000, с
 8465.580, км||    3.989, км/с||   -0.006, рад||    0.017, рад||    0.523, рад||    0.003, рад||    7.000, с
 8465.552, км||    3.989, км/с||   -0.007, рад||    0.017, рад||    0.523, рад||    0.004, рад||    8.000, с
 8465.521, км||    3.989, км/с||   -0.008, рад||    0.017, рад||    0.523, рад||    0.004, рад||    9.000, с
 8465.486, км||    3.990, км/с||   -0.009, рад||    0.017, рад||    0.523, рад||    0.005, рад||   10.000, с
 8465.447, км||    3.990, км/с||   -0.010, рад||    0.017, рад||    0.523, рад||    0.005, рад||   11.000, с
 8465.405, км||    3.990, км/с||   -0.011, рад||    0.017, рад||    0.523, рад||    0.006, рад||   12.000, с
 8465.358, км||    3.990, км/с||   -0.012, рад||    0.017, рад||    0.523, рад||    0.006, рад||   13.000, с
 8465.309, км||    3.990, км/с||   -0.013, рад||    0.017, рад||    0.523, рад||    0.007, рад||   14.000, с
 8465.255, км||    3.990, км/с||   -0.014, рад||    0.017, рад||    0.523, рад||    0.007, рад||   15.000, с
 8465.198, км||    3.990, км/с||   -0.015, рад||    0.017, рад||    0.523, рад||    0.008, рад||   16.000, с
 8465.137, км||    3.990, км/с||   -0.016, рад||    0.017, рад||    0.523, рад||    0.008, рад||   17.000, с
 8465.073, км||    3.990, км/с||   -0.017, рад||    0.017, рад||    0.523, рад||    0.008, рад||   18.000, с
 8465.004, км||    3.990, км/с||   -0.018, рад||    0.017, рад||    0.523, рад||    0.009, рад||   19.000, с
 8464.933, км||    3.990, км/с||   -0.018, рад||    0.017, рад||    0.523, рад||    0.009, рад||   20.000, с
 8464.857, км||    3.990, км/с||   -0.019, рад||    0.017, рад||    0.523, рад||    0.010, рад||   21.000, с
 8464.778, км||    3.991, км/с||   -0.020, рад||    0.017, рад||    0.523, рад||    0.010, рад||   22.000, с
 8464.695, км||    3.991, км/с||   -0.021, рад||    0.017, рад||    0.523, рад||    0.011, рад||   23.000, с
 8464.608, км||    3.991, км/с||   -0.022, рад||    0.017, рад||    0.523, рад||    0.011, рад||   24.000, с
 8464.518, км||    3.991, км/с||   -0.023, рад||    0.017, рад||    0.523, рад||    0.012, рад||   25.000, с
 8464.424, км||    3.991, км/с||   -0.024, рад||    0.017, рад||    0.523, рад||    0.012, рад||   26.000, с
 8464.326, км||    3.991, км/с||   -0.025, рад||    0.017, рад||    0.523, рад||    0.013, рад||   27.000, с
 8464.225, км||    3.991, км/с||   -0.026, рад||    0.017, рад||    0.523, рад||    0.013, рад||   28.000, с
 8464.120, км||    3.991, км/с||   -0.027, рад||    0.017, рад||    0.523, рад||    0.014, рад||   29.000, с
 8464.011, км||    3.992, км/с||   -0.028, рад||    0.017, рад||    0.523, рад||    0.014, рад||   30.000, с
 8463.898, км||    3.992, км/с||   -0.029, рад||    0.017, рад||    0.523, рад||    0.015, рад||   31.000, с
 8463.782, км||    3.992, км/с||   -0.030, рад||    0.017, рад||    0.523, рад||    0.015, рад||   32.000, с
 8463.662, км||    3.992, км/с||   -0.030, рад||    0.017, рад||    0.523, рад||    0.016, рад||   33.000, с
 8463.539, км||    3.992, км/с||   -0.031, рад||    0.017, рад||    0.523, рад||    0.016, рад||   34.000, с
 8463.412, км||    3.992, км/с||   -0.032, рад||    0.017, рад||    0.523, рад||    0.016, рад||   35.000, с
 8463.281, км||    3.993, км/с||   -0.033, рад||    0.017, рад||    0.523, рад||    0.017, рад||   36.000, с
 8463.146, км||    3.993, км/с||   -0.034, рад||    0.017, рад||    0.523, рад||    0.017, рад||   37.000, с
 8463.008, км||    3.993, км/с||   -0.035, рад||    0.017, рад||    0.523, рад||    0.018, рад||   38.000, с
 8462.866, км||    3.993, км/с||   -0.036, рад||    0.017, рад||    0.523, рад||    0.018, рад||   39.000, с
 8462.720, км||    3.993, км/с||   -0.037, рад||    0.017, рад||    0.523, рад||    0.019, рад||   40.000, с
 8462.571, км||    3.994, км/с||   -0.038, рад||    0.017, рад||    0.523, рад||    0.019, рад||   41.000, с
 8462.418, км||    3.994, км/с||   -0.039, рад||    0.017, рад||    0.523, рад||    0.020, рад||   42.000, с
 8462.261, км||    3.994, км/с||   -0.040, рад||    0.017, рад||    0.523, рад||    0.020, рад||   43.000, с
 8462.101, км||    3.994, км/с||   -0.041, рад||    0.017, рад||    0.523, рад||    0.021, рад||   44.000, с
 8461.936, км||    3.994, км/с||   -0.042, рад||    0.017, рад||    0.523, рад||    0.021, рад||   45.000, с
 8461.769, км||    3.995, км/с||   -0.042, рад||    0.017, рад||    0.523, рад||    0.022, рад||   46.000, с
 8461.597, км||    3.995, км/с||   -0.043, рад||    0.017, рад||    0.523, рад||    0.022, рад||   47.000, с
 8461.422, км||    3.995, км/с||   -0.044, рад||    0.017, рад||    0.523, рад||    0.023, рад||   48.000, с
 8461.243, км||    3.995, км/с||   -0.045, рад||    0.017, рад||    0.523, рад||    0.023, рад||   49.000, с
 8461.061, км||    3.996, км/с||   -0.046, рад||    0.017, рад||    0.523, рад||    0.024, рад||   50.000, с
 8460.874, км||    3.996, км/с||   -0.047, рад||    0.017, рад||    0.523, рад||    0.024, рад||   51.000, с
 8460.684, км||    3.996, км/с||   -0.048, рад||    0.017, рад||    0.523, рад||    0.025, рад||   52.000, с
 8460.491, км||    3.996, км/с||   -0.049, рад||    0.017, рад||    0.523, рад||    0.025, рад||   53.000, с
 8460.293, км||    3.997, км/с||   -0.050, рад||    0.017, рад||    0.523, рад||    0.025, рад||   54.000, с
 8460.092, км||    3.997, км/с||   -0.051, рад||    0.017, рад||    0.523, рад||    0.026, рад||   55.000, с
 8459.888, км||    3.997, км/с||   -0.052, рад||    0.017, рад||    0.523, рад||    0.026, рад||   56.000, с
 8459.679, км||    3.998, км/с||   -0.053, рад||    0.017, рад||    0.523, рад||    0.027, рад||   57.000, с
 8459.467, км||    3.998, км/с||   -0.054, рад||    0.017, рад||    0.523, рад||    0.027, рад||   58.000, с
 8459.252, км||    3.998, км/с||   -0.054, рад||    0.017, рад||    0.523, рад||    0.028, рад||   59.000, с
 8459.032, км||    3.998, км/с||   -0.055, рад||    0.017, рад||    0.523, рад||    0.028, рад||   60.000, с
 8458.809, км||    3.999, км/с||   -0.056, рад||    0.017, рад||    0.523, рад||    0.029, рад||   61.000, с
 8458.582, км||    3.999, км/с||   -0.057, рад||    0.017, рад||    0.523, рад||    0.029, рад||   62.000, с
 8458.352, км||    3.999, км/с||   -0.058, рад||    0.017, рад||    0.523, рад||    0.030, рад||   63.000, с
 8458.117, км||    4.000, км/с||   -0.059, рад||    0.017, рад||    0.523, рад||    0.030, рад||   64.000, с
 8457.879, км||    4.000, км/с||   -0.060, рад||    0.017, рад||    0.523, рад||    0.031, рад||   65.000, с
 8457.638, км||    4.000, км/с||   -0.061, рад||    0.017, рад||    0.523, рад||    0.031, рад||   66.000, с
 8457.392, км||    4.001, км/с||   -0.062, рад||    0.017, рад||    0.523, рад||    0.032, рад||   67.000, с
 8457.143, км||    4.001, км/с||   -0.063, рад||    0.017, рад||    0.523, рад||    0.032, рад||   68.000, с
 8456.891, км||    4.001, км/с||   -0.064, рад||    0.017, рад||    0.523, рад||    0.033, рад||   69.000, с
 8456.634, км||    4.002, км/с||   -0.065, рад||    0.017, рад||    0.523, рад||    0.033, рад||   70.000, с
 8456.374, км||    4.002, км/с||   -0.065, рад||    0.017, рад||    0.523, рад||    0.033, рад||   71.000, с
 8456.111, км||    4.003, км/с||   -0.066, рад||    0.017, рад||    0.523, рад||    0.034, рад||   72.000, с
 8455.843, км||    4.003, км/с||   -0.067, рад||    0.017, рад||    0.523, рад||    0.034, рад||   73.000, с
 8455.572, км||    4.003, км/с||   -0.068, рад||    0.017, рад||    0.523, рад||    0.035, рад||   74.000, с
 8455.297, км||    4.004, км/с||   -0.069, рад||    0.017, рад||    0.523, рад||    0.035, рад||   75.000, с
 8455.019, км||    4.004, км/с||   -0.070, рад||    0.017, рад||    0.523, рад||    0.036, рад||   76.000, с
