R, км||V, км/с||Tet, рад||I, рад||Omega, рад||U, рад||T, с
 8928.380, км||    7.639, км/с||    0.001, рад||    1.396, рад||    0.523, рад||    0.635, рад||    0.000, с
 8928.386, км||    7.639, км/с||    0.001, рад||    1.396, рад||    0.523, рад||    0.636, рад||    1.000, с
 8928.394, км||    7.639, км/с||    0.001, рад||    1.396, рад||    0.523, рад||    0.637, рад||    2.000, с
 8928.403, км||    7.639, км/с||    0.001, рад||    1.396, рад||    0.523, рад||    0.638, рад||    3.000, с
 8928.414, км||    7.639, км/с||    0.002, рад||    1.396, рад||    0.523, рад||    0.639, рад||    4.000, с
 8928.426, км||    7.639, км/с||    0.002, рад||    1.396, рад||    0.523, рад||    0.640, рад||    5.000, с
 8928.440, км||    7.639, км/с||    0.002, рад||    1.396, рад||    0.523, рад||    0.641, рад||    6.000, с
 8928.455, км||    7.639, км/с||    0.002, рад||    1.396, рад||    0.523, рад||    0.641, рад||    7.000, с
 8928.472, км||    7.639, км/с||    0.002, рад||    1.396, рад||    0.523, рад||    0.642, рад||    8.000, с
 8928.490, км||    7.639, км/с||    0.003, рад||    1.396, рад||    0.523, рад||    0.643, рад||    9.000, с
 8928.510, км||    7.639, км/с||    0.003, рад||    1.396, рад||    0.523, рад||    0.644, рад||   10.000, с
 8928.532, км||    7.639, км/с||    0.003, рад||    1.396, рад||    0.523, рад||    0.645, рад||   11.000, с
 8928.555, км||    7.639, км/с||    0.003, рад||    1.396, рад||    0.523, рад||    0.646, рад||   12.000, с
 8928.579, км||    7.639, км/с||    0.003, рад||    1.396, рад||    0.523, рад||    0.647, рад||   13.000, с
 8928.605, км||    7.638, км/с||    0.004, рад||    1.396, рад||    0.523, рад||    0.647, рад||   14.000, с
 8928.633, км||    7.638, км/с||    0.004, рад||    1.396, рад||    0.523, рад||    0.648, рад||   15.000, с
 8928.662, км||    7.638, км/с||    0.004, рад||    1.396, рад||    0.523, рад||    0.649, рад||   16.000, с
 8928.693, км||    7.638, км/с||    0.004, рад||    1.396, рад||    0.523, рад||    0.650, рад||   17.000, с
 8928.725, км||    7.638, км/с||    0.004, рад||    1.396, рад||    0.523, рад||    0.651, рад||   18.000, с
 8928.759, км||    7.638, км/с||    0.005, рад||    1.396, рад||    0.523, рад||    0.652, рад||   19.000, с
 8928.794, км||    7.638, км/с||    0.005, рад||    1.396, рад||    0.523, рад||    0.653, рад||   20.000, с
 8928.831, км||    7.638, км/с||    0.005, рад||    1.396, рад||    0.523, рад||    0.653, рад||   21.000, с
 8928.869, км||    7.638, км/с||    0.005, рад||    1.396, рад||    0.523, рад||    0.654, рад||   22.000, с
 8928.909, км||    7.638, км/с||    0.005, рад||    1.396, рад||    0.523, рад||    0.655, рад||   23.000, с
 8928.950, км||    7.638, км/с||    0.006, рад||    1.396, рад||    0.523, рад||    0.656, рад||   24.000, с
 8928.993, км||    7.638, км/с||    0.006, рад||    1.396, рад||    0.523, рад||    0.657, рад||   25.000, с
 8929.038, км||    7.638, км/с||    0.006, рад||    1.396, рад||    0.523, рад||    0.658, рад||   26.000, с
 8929.084, км||    7.638, км/с||    0.006, рад||    1.396, рад||    0.523, рад||    0.658, рад||   27.000, с
 8929.131, км||    7.638, км/с||    0.006, рад||    1.396, рад||    0.523, рад||    0.659, рад||   28.000, с
 8929.181, км||    7.638, км/с||    0.007, рад||    1.396, рад||    0.523, рад||    0.660, рад||   29.000, с
 8929.231, км||    7.638, км/с||    0.007, рад||    1.396, рад||    0.523, рад||    0.661, рад||   30.000, с
 8929.283, км||    7.638, км/с||    0.007, рад||    1.396, рад||    0.523, рад||    0.662, рад||   31.000, с
 8929.337, км||    7.638, км/с||    0.007, рад||    1.396, рад||    0.523, рад||    0.663, рад||   32.000, с
 8929.392, км||    7.638, км/с||    0.007, рад||    1.396, рад||    0.523, рад||    0.664, рад||   33.000, с
 8929.449, км||    7.638, км/с||    0.008, рад||    1.396, рад||    0.523, рад||    0.664, рад||   34.000, с
 8929.507, км||    7.638, км/с||    0.008, рад||    1.396, рад||    0.523, рад||    0.665, рад||   35.000, с
 8929.567, км||    7.638, км/с||    0.008, рад||    1.396, рад||    0.523, рад||    0.666, рад||   36.000, с
 8929.629, км||    7.638, км/с||    0.008, рад||    1.396, рад||    0.523, рад||    0.667, рад||   37.000, с
 8929.691, км||    7.638, км/с||    0.008, рад||    1.396, рад||    0.523, рад||    0.668, рад||   38.000, с
 8929.756, км||    7.638, км/с||    0.009, рад||    1.396, рад||    0.523, рад||    0.669, рад||   39.000, с
 8929.822, км||    7.638, км/с||    0.009, рад||    1.396, рад||    0.523, рад||    0.670, рад||   40.000, с
 8929.889, км||    7.638, км/с||    0.009, рад||    1.396, рад||    0.523, рад||    0.670, рад||   41.000, с
 8929.958, км||    7.637, км/с||    0.009, рад||    1.396, рад||    0.523, рад||    0.671, рад||   42.000, с
 8930.029, км||    7.637, км/с||    0.009, рад||    1.396, рад||    0.523, рад||    0.672, рад||   43.000, с
 8930.101, км||    7.637, км/с||    0.010, рад||    1.396, рад||    0.523, рад||    0.673, рад||   44.000, с
 8930.175, км||    7.637, км/с||    0.010, рад||    1.396, рад||    0.523, рад||    0.674, рад||   45.000, с
 8930.250, км||    7.637, км/с||    0.010, рад||    1.396, рад||    0.523, рад||    0.675, рад||   46.000, с
 8930.327, км||    7.637, км/с||    0.010, рад||    1.396, рад||    0.523, рад||    0.676, рад||   47.000, с
 8930.405, км||    7.637, км/с||    0.010, рад||    1.396, рад||    0.523, рад||    0.676, рад||   48.000, с
 8930.485, км||    7.637, км/с||    0.011, рад||    1.396, рад||    0.523, рад||    0.677, рад||   49.000, с
 8930.566, км||    7.637, км/с||    0.011, рад||    1.396, рад||    0.523, рад||    0.678, рад||   50.000, с
 8930.649, км||    7.637, км/с||    0.011, рад||    1.396, рад||    0.523, рад||    0.679, рад||   51.000, с
 8930.733, км||    7.637, км/с||    0.011, рад||    1.396, рад||    0.523, рад||    0.680, рад||   52.000, с
 8930.819, км||    7.637, км/с||    0.011, рад||    1.396, рад||    0.523, рад||    0.681, рад||   53.000, с
 8930.906, км||    7.637, км/с||    0.012, рад||    1.396, рад||    0.523, рад||    0.682, рад||   54.000, с
 8930.995, км||    7.637, км/с||    0.012, рад||    1.396, рад||    0.523, рад||    0.682, рад||   55.000, с
 8931.086, км||    7.637, км/с||    0.012, рад||    1.396, рад||    0.523, рад||    0.683, рад||   56.000, с
 8931.178, км||    7.637, км/с||    0.012, рад||    1.396, рад||    0.523, рад||    0.684, рад||   57.000, с
